id,section_code,section_ref,subsection_title,clause_ref,subclause_ref,clause_title,clause_text,clause_type,order_in_section
N13,N,Structural Steelwork,,N13,,Site rivets,(a) Driving rivets on site shall be deemed to be included with the items. The weight of the,clause,26
N14,N,Structural Steelwork,,N14,,Wedging bases and,Wedging under stanchion-bases and under steel grillages shall each be enumerated separately,clause,27
N15,N,Structural Steelwork,,N15,,Turned bolts,Turned-bolts shall be enumerated stating the diameter and the length. Nuts and washers shall be,clause,28
N16,N,Structural Steelwork,,N16,,Anchor bolts,Anchor- bolts shall be given in kilogrammes stating the diameter. Nuts and washers shall be given in,clause,29
N17,N,Structural Steelwork,,N17,,Gutters,(a) Gutters in conjunction with structural steel work shall be given in kilogrammes or,clause,30
N18,N,Structural Steelwork,,N18,,Painting,Painting by the steel fabricators or erectors shall be given in squaremetres of the surface to be,clause,31
P_HEADER,P,Metal Work,,,,,Metal Work,section_header,1
P_SUB_2,P,Metal Work,"Work in plates, bars, section and tubes",,,,"Work in plates, bars, section and tubes",subsection,2
P_SUB_3,P,Metal Work,Work in sheet metal,,,,Work in sheet metal,subsection,3
P_SUB_4,P,Metal Work,Work in wire mesh or expanded metal,,,,Work in wire mesh or expanded metal,subsection,4
P_SUB_5,P,Metal Work,Compose units,,,,Compose units,subsection,5
P_SUB_6,P,Metal Work,Standard units,,,,Standard units,subsection,6
P_SUB_7,P,Metal Work,Sundries,,,,Sundries,subsection,7
P1,P,Metal Work,,P1,,Metal work generally,(a) Particulars of the following shall be given:-,clause,8
P2,P,Metal Work,,P2,,"Plates, bars, sections","Metal plates, bars, sections and tubes shall be deemed to be formed by casting, rolling, drawing,",clause,9
P3,P,Metal Work,,P3,,Floor-plates and,(a) Floor-plates shall be given ins square metres stating the average size. Chequer plates and,clause,10
P4,P,Metal Work,,P4,,Burglar bars and,"(a) Burglar bars shall be given in linear metres stating the size. Fanged ends, twists, bends",clause,11
P5,P,Metal Work,,P5,,Handrails and core,(a) Handrails and core rails shall each be given separately in linear metres stating the size,clause,12
P6,P,Metal Work,,P6,,"Arch-bars, bearers","Arch bars, bearers, stays and the like shall each be given separately in linear metres stating the size.",clause,13
P7,P,Metal Work,,P7,,"Straps, collars and","Straps, collars, hangers, cantilever-brackets, corbels and the like shall each be enumerated separately",clause,14
P8,P,Metal Work,,P8,,Mat-frames,Mat-frames shall be enumerated stating the size of the members and the overall size of the frame.,clause,15
P9,P,Metal Work,,P9,,Coverings and linings,"(a) Coverings to doors, bench-tops, counter tops and the like shall each be given separately in",clause,16
P10,P,Metal Work,,P10,,Wire mesh and,"(a) Mesh coverings and expanded metal coverings over 300 millimetres wide to partitions,",clause,17
P11,P,Metal Work,,P11,,Composite units,Composite units (other than standard units) shall be measured in detail in accordance with Clause P12,clause,18
P15,P,Metal Work,,P15,,generally to,hereof and each unit with its associated labours shall be billed under an appropriate heading,clause,19
P12,P,Metal Work,,P12,,Members of,(a) Rolled plates over 300 millimetres in both dimensions shall be given in square metres.,clause,20
P13,P,Metal Work,,P13,,Labours on members,(a) Raking cutting and curved cutting shall each be given separately in linear metres,clause,21
P14,P,Metal Work,,P14,,Openings partitions of,"Opening portions in balustrades, railings and the like shall each be enumerated separately as extra",clause,22
P15,P,Metal Work,,P15,,Connections,(a) Cleated connections and plated connections shall each be between enumerated,clause,23
P16,P,Metal Work,,P16,,Special metal,Special metal windows and special metal doors shall each be enumerated separately stating the,clause,24
P17,P,Metal Work,,P17,,Standard units,Assembling and jointing together the component parts of composite units and providing any,clause,25
P18,P,Metal Work,,P18,,Standard metal,"(a) Standard metal windows and doors (complete with frames, mullions, transoms, hinges,",clause,26
P19,P,Metal Work,,P19,,Steel door frames,Steel door-frames (except those forming an integral part of a door unit) shall be enumerated stating,clause,27
P20,P,Metal Work,,P20,,Fireproof doors and,"Fireproof doors and strongrooms doors (complete with frames, hinges, fastenings and lugs) shall",clause,28
P21,P,Metal Work,,P21,,Roof-lights,"Lantern-lights, skylights, laylights, and the like (complete with frames, mullions, ridges, hips, hinges,",clause,29
P22,P,Metal Work,,P22,,Pavements lights and,"Pavement lights and stallboard lights (complete with frames, lugs and glass lenses) shall each be",clause,30
P23,P,Metal Work,,P23,,"Skirtings, picture-rails","Skirtings, picture-rails, and the like shall each be given separately in linear metres stating the size and",clause,31
P24,P,Metal Work,,P24,,Duct covers,Duct-covers (complete with frames and lugs) shall be given in linear metres stating the width and the,clause,32
P25,P,Metal Work,,P25,,Balustrades and,"Balustrades, railings and the like forming part of a building shall each be given separately in linear",clause,33
P26,P,Metal Work,,P26,,Collapsible gates and,"Collapsible gates, revolving shutters and the like (complete with frames, guides, tracks, and",clause,34
P27,P,Metal Work,,P27,,Grilles and gratings,Grilles and gratings (complete with frames and lugs) shall each be enumerated separately stating the,clause,35
P28,P,Metal Work,,P28,,Surface boxes and,"Surfaces-boxes, inspection-covers, mat-rims and the like (complete with frames and lugs) shall each",clause,36
P29,P,Metal Work,,P29,,Sectional tanks,"Sectional tanks shall be enumerated stating the capacity, the size and the type",clause,37
